time,city,nearest_big_city
2009.384615,Nadia,North Twenty Four Parganas
2009.423077,Nadia,North Twenty Four Parganas
2009.461538,Nadia,North Twenty Four Parganas
2009.5,Nadia,North Twenty Four Parganas
2009.538462,Nadia,North Twenty Four Parganas
2009.576923,Nadia,North Twenty Four Parganas
2009.615385,Nadia,North Twenty Four Parganas
2009.653846,Nadia,North Twenty Four Parganas
2009.692308,Nadia,North Twenty Four Parganas
2009.730769,Nadia,North Twenty Four Parganas
2009.769231,Nadia,North Twenty Four Parganas
2009.807692,Nadia,North Twenty Four Parganas
2009.846154,Nadia,North Twenty Four Parganas
2009.884615,Nadia,North Twenty Four Parganas
2009.923077,Nadia,North Twenty Four Parganas
2009.961538,Nadia,North Twenty Four Parganas
2010,Nadia,North Twenty Four Parganas
2010.038462,Nadia,North Twenty Four Parganas
2010.076923,Nadia,North Twenty Four Parganas
2010.115385,Nadia,North Twenty Four Parganas
2010.153846,Nadia,North Twenty Four Parganas
2010.192308,Nadia,North Twenty Four Parganas
2010.230769,Nadia,North Twenty Four Parganas
2010.269231,Nadia,North Twenty Four Parganas
2010.307692,Nadia,North Twenty Four Parganas
2010.346154,Nadia,North Twenty Four Parganas
2010.384615,Nadia,North Twenty Four Parganas
2010.423077,Nadia,North Twenty Four Parganas
2010.461538,Nadia,North Twenty Four Parganas
2010.5,Nadia,North Twenty Four Parganas
2010.538462,Nadia,North Twenty Four Parganas
2010.576923,Nadia,North Twenty Four Parganas
2010.615385,Nadia,North Twenty Four Parganas
2010.653846,Nadia,North Twenty Four Parganas
2010.692308,Nadia,North Twenty Four Parganas
2010.730769,Nadia,North Twenty Four Parganas
2010.769231,Nadia,North Twenty Four Parganas
2010.807692,Nadia,North Twenty Four Parganas
2010.846154,Nadia,North Twenty Four Parganas
2010.884615,Nadia,North Twenty Four Parganas
2010.923077,Nadia,North Twenty Four Parganas
2010.961538,Nadia,North Twenty Four Parganas
2011,Nadia,North Twenty Four Parganas
2011.038462,Nadia,North Twenty Four Parganas
2011.076923,Nadia,North Twenty Four Parganas
2011.115385,Nadia,North Twenty Four Parganas
2011.153846,Nadia,North Twenty Four Parganas
2011.192308,Nadia,North Twenty Four Parganas
2011.230769,Nadia,North Twenty Four Parganas
2011.269231,Nadia,North Twenty Four Parganas
2011.307692,Nadia,North Twenty Four Parganas
2011.346154,Nadia,North Twenty Four Parganas
2011.384615,Nadia,North Twenty Four Parganas
2011.423077,Nadia,North Twenty Four Parganas
2011.461538,Nadia,North Twenty Four Parganas
2011.5,Nadia,North Twenty Four Parganas
2011.538462,Nadia,North Twenty Four Parganas
2011.576923,Nadia,North Twenty Four Parganas
2011.615385,Nadia,North Twenty Four Parganas
2011.653846,Nadia,North Twenty Four Parganas
2011.692308,Nadia,North Twenty Four Parganas
2011.730769,Nadia,North Twenty Four Parganas
2011.769231,Nadia,North Twenty Four Parganas
2011.807692,Nadia,North Twenty Four Parganas
2011.846154,Nadia,North Twenty Four Parganas
2011.884615,Nadia,North Twenty Four Parganas
2011.923077,Nadia,North Twenty Four Parganas
2011.961538,Nadia,North Twenty Four Parganas
2012,Nadia,North Twenty Four Parganas
2012.038462,Nadia,North Twenty Four Parganas
2012.076923,Nadia,North Twenty Four Parganas
2012.115385,Nadia,North Twenty Four Parganas
2012.153846,Nadia,North Twenty Four Parganas
2012.192308,Nadia,North Twenty Four Parganas
2012.230769,Nadia,North Twenty Four Parganas
2012.269231,Nadia,North Twenty Four Parganas
2012.307692,Nadia,North Twenty Four Parganas
2012.346154,Nadia,North Twenty Four Parganas
2012.384615,Nadia,North Twenty Four Parganas
2012.423077,Nadia,North Twenty Four Parganas
2012.461538,Nadia,North Twenty Four Parganas
2012.5,Nadia,North Twenty Four Parganas
2012.538462,Nadia,North Twenty Four Parganas
2012.576923,Nadia,North Twenty Four Parganas
2012.615385,Nadia,North Twenty Four Parganas
2012.653846,Nadia,North Twenty Four Parganas
2012.692308,Nadia,North Twenty Four Parganas
2012.730769,Nadia,North Twenty Four Parganas
2012.769231,Nadia,North Twenty Four Parganas
2012.807692,Nadia,North Twenty Four Parganas
2012.846154,Nadia,North Twenty Four Parganas
2012.884615,Nadia,North Twenty Four Parganas
2012.923077,Nadia,North Twenty Four Parganas
2012.961538,Nadia,North Twenty Four Parganas
2013,Nadia,North Twenty Four Parganas
2013.038462,Nadia,North Twenty Four Parganas
2013.076923,Nadia,North Twenty Four Parganas
2013.115385,Nadia,North Twenty Four Parganas
2013.153846,Nadia,North Twenty Four Parganas
2013.192308,Nadia,North Twenty Four Parganas
2013.230769,Nadia,North Twenty Four Parganas
2013.269231,Nadia,North Twenty Four Parganas
2013.307692,Nadia,North Twenty Four Parganas
2013.346154,Nadia,North Twenty Four Parganas
2013.384615,Nadia,North Twenty Four Parganas
2013.423077,Nadia,North Twenty Four Parganas
2013.461538,Nadia,North Twenty Four Parganas
2013.5,Nadia,North Twenty Four Parganas
2013.538462,Nadia,North Twenty Four Parganas
2013.576923,Nadia,North Twenty Four Parganas
2013.615385,Nadia,North Twenty Four Parganas
2013.653846,Nadia,North Twenty Four Parganas
2013.692308,Nadia,North Twenty Four Parganas
2013.730769,Nadia,North Twenty Four Parganas
2013.769231,Nadia,North Twenty Four Parganas
2013.807692,Nadia,North Twenty Four Parganas
2013.846154,Nadia,North Twenty Four Parganas
2013.884615,Nadia,North Twenty Four Parganas
2013.923077,Nadia,North Twenty Four Parganas
2013.961538,Nadia,North Twenty Four Parganas
2014,Nadia,North Twenty Four Parganas
2014.038462,Nadia,North Twenty Four Parganas
2014.076923,Nadia,North Twenty Four Parganas
2014.115385,Nadia,North Twenty Four Parganas
2014.153846,Nadia,North Twenty Four Parganas
2014.192308,Nadia,North Twenty Four Parganas
2014.230769,Nadia,North Twenty Four Parganas
2014.269231,Nadia,North Twenty Four Parganas
2014.307692,Nadia,North Twenty Four Parganas
2014.346154,Nadia,North Twenty Four Parganas
2014.384615,Nadia,North Twenty Four Parganas
2014.423077,Nadia,North Twenty Four Parganas
2014.461538,Nadia,North Twenty Four Parganas
2014.5,Nadia,North Twenty Four Parganas
2014.538462,Nadia,North Twenty Four Parganas
2014.576923,Nadia,North Twenty Four Parganas
2014.615385,Nadia,North Twenty Four Parganas
2014.653846,Nadia,North Twenty Four Parganas
2014.692308,Nadia,North Twenty Four Parganas
2014.730769,Nadia,North Twenty Four Parganas
2014.769231,Nadia,North Twenty Four Parganas
2014.807692,Nadia,North Twenty Four Parganas
2014.846154,Nadia,North Twenty Four Parganas
2014.884615,Nadia,North Twenty Four Parganas
2014.923077,Nadia,North Twenty Four Parganas
2014.961538,Nadia,North Twenty Four Parganas
2015,Nadia,North Twenty Four Parganas
2015.038462,Nadia,North Twenty Four Parganas
2015.076923,Nadia,North Twenty Four Parganas
2015.115385,Nadia,North Twenty Four Parganas
2015.153846,Nadia,North Twenty Four Parganas
2015.192308,Nadia,North Twenty Four Parganas
2015.230769,Nadia,North Twenty Four Parganas
2015.269231,Nadia,North Twenty Four Parganas
2015.307692,Nadia,North Twenty Four Parganas
2015.346154,Nadia,North Twenty Four Parganas
2015.384615,Nadia,North Twenty Four Parganas
2015.423077,Nadia,North Twenty Four Parganas
2015.461538,Nadia,North Twenty Four Parganas
2015.5,Nadia,North Twenty Four Parganas
2015.538462,Nadia,North Twenty Four Parganas
2015.576923,Nadia,North Twenty Four Parganas
2015.615385,Nadia,North Twenty Four Parganas
2015.653846,Nadia,North Twenty Four Parganas
2015.692308,Nadia,North Twenty Four Parganas
2015.730769,Nadia,North Twenty Four Parganas
2015.769231,Nadia,North Twenty Four Parganas
2015.807692,Nadia,North Twenty Four Parganas
2015.846154,Nadia,North Twenty Four Parganas
2015.884615,Nadia,North Twenty Four Parganas
2015.923077,Nadia,North Twenty Four Parganas
2015.961538,Nadia,North Twenty Four Parganas
2016,Nadia,North Twenty Four Parganas
2016.038462,Nadia,North Twenty Four Parganas
2016.076923,Nadia,North Twenty Four Parganas
2016.115385,Nadia,North Twenty Four Parganas
2016.153846,Nadia,North Twenty Four Parganas
2016.192308,Nadia,North Twenty Four Parganas
2016.230769,Nadia,North Twenty Four Parganas
2016.269231,Nadia,North Twenty Four Parganas
2016.307692,Nadia,North Twenty Four Parganas
2016.346154,Nadia,North Twenty Four Parganas
2016.384615,Nadia,North Twenty Four Parganas
2016.423077,Nadia,North Twenty Four Parganas
2016.461538,Nadia,North Twenty Four Parganas
2016.5,Nadia,North Twenty Four Parganas
2016.538462,Nadia,North Twenty Four Parganas
2016.576923,Nadia,North Twenty Four Parganas
2016.615385,Nadia,North Twenty Four Parganas
2016.653846,Nadia,North Twenty Four Parganas
2016.692308,Nadia,North Twenty Four Parganas
2016.730769,Nadia,North Twenty Four Parganas
2016.769231,Nadia,North Twenty Four Parganas
2016.807692,Nadia,North Twenty Four Parganas
2016.846154,Nadia,North Twenty Four Parganas
2016.884615,Nadia,North Twenty Four Parganas
2016.923077,Nadia,North Twenty Four Parganas
2016.961538,Nadia,North Twenty Four Parganas
2017,Nadia,North Twenty Four Parganas
2017.038462,Nadia,North Twenty Four Parganas
2017.076923,Nadia,North Twenty Four Parganas
2017.115385,Nadia,North Twenty Four Parganas
2017.153846,Nadia,North Twenty Four Parganas
2017.192308,Nadia,North Twenty Four Parganas
2017.230769,Nadia,North Twenty Four Parganas
2017.269231,Nadia,North Twenty Four Parganas
2017.307692,Nadia,North Twenty Four Parganas
2017.346154,Nadia,North Twenty Four Parganas
2017.384615,Nadia,North Twenty Four Parganas
2017.423077,Nadia,North Twenty Four Parganas
2017.461538,Nadia,North Twenty Four Parganas
2017.5,Nadia,North Twenty Four Parganas
2017.538462,Nadia,North Twenty Four Parganas
2017.576923,Nadia,North Twenty Four Parganas
2017.615385,Nadia,North Twenty Four Parganas
2017.653846,Nadia,North Twenty Four Parganas
2017.692308,Nadia,North Twenty Four Parganas
2017.730769,Nadia,North Twenty Four Parganas
2017.769231,Nadia,North Twenty Four Parganas
2017.807692,Nadia,North Twenty Four Parganas
2017.846154,Nadia,North Twenty Four Parganas
2017.884615,Nadia,North Twenty Four Parganas
2017.923077,Nadia,North Twenty Four Parganas
2017.961538,Nadia,North Twenty Four Parganas
2018,Nadia,North Twenty Four Parganas
2018.038462,Nadia,North Twenty Four Parganas
2018.076923,Nadia,North Twenty Four Parganas
2018.115385,Nadia,North Twenty Four Parganas
2018.153846,Nadia,North Twenty Four Parganas
2018.192308,Nadia,North Twenty Four Parganas
2018.230769,Nadia,North Twenty Four Parganas
2018.269231,Nadia,North Twenty Four Parganas
2018.307692,Nadia,North Twenty Four Parganas
2018.346154,Nadia,North Twenty Four Parganas
2018.384615,Nadia,North Twenty Four Parganas
2018.423077,Nadia,North Twenty Four Parganas
2018.461538,Nadia,North Twenty Four Parganas
2018.5,Nadia,North Twenty Four Parganas
2018.538462,Nadia,North Twenty Four Parganas
2018.576923,Nadia,North Twenty Four Parganas
2018.615385,Nadia,North Twenty Four Parganas
2018.653846,Nadia,North Twenty Four Parganas
2018.692308,Nadia,North Twenty Four Parganas
2018.730769,Nadia,North Twenty Four Parganas
2018.769231,Nadia,North Twenty Four Parganas
2018.807692,Nadia,North Twenty Four Parganas
2018.846154,Nadia,North Twenty Four Parganas
2018.884615,Nadia,North Twenty Four Parganas
2018.923077,Nadia,North Twenty Four Parganas
2018.961538,Nadia,North Twenty Four Parganas
2019,Nadia,North Twenty Four Parganas
2019.038462,Nadia,North Twenty Four Parganas
2019.076923,Nadia,North Twenty Four Parganas
2019.115385,Nadia,North Twenty Four Parganas
2019.153846,Nadia,North Twenty Four Parganas
2019.192308,Nadia,North Twenty Four Parganas
2019.230769,Nadia,North Twenty Four Parganas
2019.269231,Nadia,North Twenty Four Parganas
2019.307692,Nadia,North Twenty Four Parganas
2019.346154,Nadia,North Twenty Four Parganas
2019.384615,Nadia,North Twenty Four Parganas
2019.423077,Nadia,North Twenty Four Parganas
2019.461538,Nadia,North Twenty Four Parganas
2019.5,Nadia,North Twenty Four Parganas
2019.538462,Nadia,North Twenty Four Parganas
2019.576923,Nadia,North Twenty Four Parganas
2019.615385,Nadia,North Twenty Four Parganas
2019.653846,Nadia,North Twenty Four Parganas
2019.692308,Nadia,North Twenty Four Parganas
2019.730769,Nadia,North Twenty Four Parganas
2019.769231,Nadia,North Twenty Four Parganas
2019.807692,Nadia,North Twenty Four Parganas
2019.846154,Nadia,North Twenty Four Parganas
2019.884615,Nadia,North Twenty Four Parganas
2019.923077,Nadia,North Twenty Four Parganas
2019.961538,Nadia,North Twenty Four Parganas
2008,North Twenty Four Parganas,North Twenty Four Parganas
2008.038462,North Twenty Four Parganas,North Twenty Four Parganas
2008.076923,North Twenty Four Parganas,North Twenty Four Parganas
2008.115385,North Twenty Four Parganas,North Twenty Four Parganas
2008.153846,North Twenty Four Parganas,North Twenty Four Parganas
2008.192308,North Twenty Four Parganas,North Twenty Four Parganas
2008.230769,North Twenty Four Parganas,North Twenty Four Parganas
2008.269231,North Twenty Four Parganas,North Twenty Four Parganas
2008.307692,North Twenty Four Parganas,North Twenty Four Parganas
2008.346154,North Twenty Four Parganas,North Twenty Four Parganas
2008.384615,North Twenty Four Parganas,North Twenty Four Parganas
2008.423077,North Twenty Four Parganas,North Twenty Four Parganas
2008.461538,North Twenty Four Parganas,North Twenty Four Parganas
2008.5,North Twenty Four Parganas,North Twenty Four Parganas
2008.538462,North Twenty Four Parganas,North Twenty Four Parganas
2008.576923,North Twenty Four Parganas,North Twenty Four Parganas
2008.615385,North Twenty Four Parganas,North Twenty Four Parganas
2008.653846,North Twenty Four Parganas,North Twenty Four Parganas
2008.692308,North Twenty Four Parganas,North Twenty Four Parganas
2008.730769,North Twenty Four Parganas,North Twenty Four Parganas
2008.769231,North Twenty Four Parganas,North Twenty Four Parganas
2008.807692,North Twenty Four Parganas,North Twenty Four Parganas
2008.846154,North Twenty Four Parganas,North Twenty Four Parganas
2008.884615,North Twenty Four Parganas,North Twenty Four Parganas
2008.923077,North Twenty Four Parganas,North Twenty Four Parganas
2008.961538,North Twenty Four Parganas,North Twenty Four Parganas
2009,North Twenty Four Parganas,North Twenty Four Parganas
2009.038462,North Twenty Four Parganas,North Twenty Four Parganas
2009.076923,North Twenty Four Parganas,North Twenty Four Parganas
2009.115385,North Twenty Four Parganas,North Twenty Four Parganas
2009.153846,North Twenty Four Parganas,North Twenty Four Parganas
2009.192308,North Twenty Four Parganas,North Twenty Four Parganas
2009.230769,North Twenty Four Parganas,North Twenty Four Parganas
2009.269231,North Twenty Four Parganas,North Twenty Four Parganas
2009.307692,North Twenty Four Parganas,North Twenty Four Parganas
2009.346154,North Twenty Four Parganas,North Twenty Four Parganas
2009.384615,North Twenty Four Parganas,North Twenty Four Parganas
2009.423077,North Twenty Four Parganas,North Twenty Four Parganas
2009.461538,North Twenty Four Parganas,North Twenty Four Parganas
2009.5,North Twenty Four Parganas,North Twenty Four Parganas
2009.538462,North Twenty Four Parganas,North Twenty Four Parganas
2009.576923,North Twenty Four Parganas,North Twenty Four Parganas
2009.615385,North Twenty Four Parganas,North Twenty Four Parganas
2009.653846,North Twenty Four Parganas,North Twenty Four Parganas
2009.692308,North Twenty Four Parganas,North Twenty Four Parganas
2009.730769,North Twenty Four Parganas,North Twenty Four Parganas
2009.769231,North Twenty Four Parganas,North Twenty Four Parganas
2009.807692,North Twenty Four Parganas,North Twenty Four Parganas
2009.846154,North Twenty Four Parganas,North Twenty Four Parganas
2009.884615,North Twenty Four Parganas,North Twenty Four Parganas
2009.923077,North Twenty Four Parganas,North Twenty Four Parganas
2009.961538,North Twenty Four Parganas,North Twenty Four Parganas
2010,North Twenty Four Parganas,North Twenty Four Parganas
2010.038462,North Twenty Four Parganas,North Twenty Four Parganas
2010.076923,North Twenty Four Parganas,North Twenty Four Parganas
2010.115385,North Twenty Four Parganas,North Twenty Four Parganas
2010.153846,North Twenty Four Parganas,North Twenty Four Parganas
2010.192308,North Twenty Four Parganas,North Twenty Four Parganas
2010.230769,North Twenty Four Parganas,North Twenty Four Parganas
2010.269231,North Twenty Four Parganas,North Twenty Four Parganas
2010.307692,North Twenty Four Parganas,North Twenty Four Parganas
2010.346154,North Twenty Four Parganas,North Twenty Four Parganas
2010.384615,North Twenty Four Parganas,North Twenty Four Parganas
2010.423077,North Twenty Four Parganas,North Twenty Four Parganas
2010.461538,North Twenty Four Parganas,North Twenty Four Parganas
2010.5,North Twenty Four Parganas,North Twenty Four Parganas
2010.538462,North Twenty Four Parganas,North Twenty Four Parganas
2010.576923,North Twenty Four Parganas,North Twenty Four Parganas
2010.615385,North Twenty Four Parganas,North Twenty Four Parganas
2010.653846,North Twenty Four Parganas,North Twenty Four Parganas
2010.692308,North Twenty Four Parganas,North Twenty Four Parganas
2010.730769,North Twenty Four Parganas,North Twenty Four Parganas
2010.769231,North Twenty Four Parganas,North Twenty Four Parganas
2010.807692,North Twenty Four Parganas,North Twenty Four Parganas
2010.846154,North Twenty Four Parganas,North Twenty Four Parganas
2010.884615,North Twenty Four Parganas,North Twenty Four Parganas
2010.923077,North Twenty Four Parganas,North Twenty Four Parganas
2010.961538,North Twenty Four Parganas,North Twenty Four Parganas
2011,North Twenty Four Parganas,North Twenty Four Parganas
2011.038462,North Twenty Four Parganas,North Twenty Four Parganas
2011.076923,North Twenty Four Parganas,North Twenty Four Parganas
2011.115385,North Twenty Four Parganas,North Twenty Four Parganas
2011.153846,North Twenty Four Parganas,North Twenty Four Parganas
2011.192308,North Twenty Four Parganas,North Twenty Four Parganas
2011.230769,North Twenty Four Parganas,North Twenty Four Parganas
2011.269231,North Twenty Four Parganas,North Twenty Four Parganas
2011.307692,North Twenty Four Parganas,North Twenty Four Parganas
2011.346154,North Twenty Four Parganas,North Twenty Four Parganas
2011.384615,North Twenty Four Parganas,North Twenty Four Parganas
2011.423077,North Twenty Four Parganas,North Twenty Four Parganas
2011.461538,North Twenty Four Parganas,North Twenty Four Parganas
2011.5,North Twenty Four Parganas,North Twenty Four Parganas
2011.538462,North Twenty Four Parganas,North Twenty Four Parganas
2011.576923,North Twenty Four Parganas,North Twenty Four Parganas
2011.615385,North Twenty Four Parganas,North Twenty Four Parganas
2011.653846,North Twenty Four Parganas,North Twenty Four Parganas
2011.692308,North Twenty Four Parganas,North Twenty Four Parganas
2011.730769,North Twenty Four Parganas,North Twenty Four Parganas
2011.769231,North Twenty Four Parganas,North Twenty Four Parganas
2011.807692,North Twenty Four Parganas,North Twenty Four Parganas
2011.846154,North Twenty Four Parganas,North Twenty Four Parganas
2011.884615,North Twenty Four Parganas,North Twenty Four Parganas
2011.923077,North Twenty Four Parganas,North Twenty Four Parganas
2011.961538,North Twenty Four Parganas,North Twenty Four Parganas
2012,North Twenty Four Parganas,North Twenty Four Parganas
2012.038462,North Twenty Four Parganas,North Twenty Four Parganas
2012.076923,North Twenty Four Parganas,North Twenty Four Parganas
2012.115385,North Twenty Four Parganas,North Twenty Four Parganas
2012.153846,North Twenty Four Parganas,North Twenty Four Parganas
2012.192308,North Twenty Four Parganas,North Twenty Four Parganas
2012.230769,North Twenty Four Parganas,North Twenty Four Parganas
2012.269231,North Twenty Four Parganas,North Twenty Four Parganas
2012.307692,North Twenty Four Parganas,North Twenty Four Parganas
2012.346154,North Twenty Four Parganas,North Twenty Four Parganas
2012.384615,North Twenty Four Parganas,North Twenty Four Parganas
2012.423077,North Twenty Four Parganas,North Twenty Four Parganas
2012.461538,North Twenty Four Parganas,North Twenty Four Parganas
2012.5,North Twenty Four Parganas,North Twenty Four Parganas
2012.538462,North Twenty Four Parganas,North Twenty Four Parganas
2012.576923,North Twenty Four Parganas,North Twenty Four Parganas
2012.615385,North Twenty Four Parganas,North Twenty Four Parganas
2012.653846,North Twenty Four Parganas,North Twenty Four Parganas
2012.692308,North Twenty Four Parganas,North Twenty Four Parganas
2012.730769,North Twenty Four Parganas,North Twenty Four Parganas
2012.769231,North Twenty Four Parganas,North Twenty Four Parganas
2012.807692,North Twenty Four Parganas,North Twenty Four Parganas
2012.846154,North Twenty Four Parganas,North Twenty Four Parganas
2012.884615,North Twenty Four Parganas,North Twenty Four Parganas
2012.923077,North Twenty Four Parganas,North Twenty Four Parganas
2012.961538,North Twenty Four Parganas,North Twenty Four Parganas
2013,North Twenty Four Parganas,North Twenty Four Parganas
2013.038462,North Twenty Four Parganas,North Twenty Four Parganas
2013.076923,North Twenty Four Parganas,North Twenty Four Parganas
2013.115385,North Twenty Four Parganas,North Twenty Four Parganas
2013.153846,North Twenty Four Parganas,North Twenty Four Parganas
2013.192308,North Twenty Four Parganas,North Twenty Four Parganas
2013.230769,North Twenty Four Parganas,North Twenty Four Parganas
2013.269231,North Twenty Four Parganas,North Twenty Four Parganas
2013.307692,North Twenty Four Parganas,North Twenty Four Parganas
2013.346154,North Twenty Four Parganas,North Twenty Four Parganas
2013.384615,North Twenty Four Parganas,North Twenty Four Parganas
2013.423077,North Twenty Four Parganas,North Twenty Four Parganas
2013.461538,North Twenty Four Parganas,North Twenty Four Parganas
2013.5,North Twenty Four Parganas,North Twenty Four Parganas
2013.538462,North Twenty Four Parganas,North Twenty Four Parganas
2013.576923,North Twenty Four Parganas,North Twenty Four Parganas
2013.615385,North Twenty Four Parganas,North Twenty Four Parganas
2013.653846,North Twenty Four Parganas,North Twenty Four Parganas
2013.692308,North Twenty Four Parganas,North Twenty Four Parganas
2013.730769,North Twenty Four Parganas,North Twenty Four Parganas
2013.769231,North Twenty Four Parganas,North Twenty Four Parganas
2013.807692,North Twenty Four Parganas,North Twenty Four Parganas
2013.846154,North Twenty Four Parganas,North Twenty Four Parganas
2013.884615,North Twenty Four Parganas,North Twenty Four Parganas
2013.923077,North Twenty Four Parganas,North Twenty Four Parganas
2013.961538,North Twenty Four Parganas,North Twenty Four Parganas
2014,North Twenty Four Parganas,North Twenty Four Parganas
2014.038462,North Twenty Four Parganas,North Twenty Four Parganas
2014.076923,North Twenty Four Parganas,North Twenty Four Parganas
2014.115385,North Twenty Four Parganas,North Twenty Four Parganas
2014.153846,North Twenty Four Parganas,North Twenty Four Parganas
2014.192308,North Twenty Four Parganas,North Twenty Four Parganas
2014.230769,North Twenty Four Parganas,North Twenty Four Parganas
2014.269231,North Twenty Four Parganas,North Twenty Four Parganas
2014.307692,North Twenty Four Parganas,North Twenty Four Parganas
2014.346154,North Twenty Four Parganas,North Twenty Four Parganas
2014.384615,North Twenty Four Parganas,North Twenty Four Parganas
2014.423077,North Twenty Four Parganas,North Twenty Four Parganas
2014.461538,North Twenty Four Parganas,North Twenty Four Parganas
2014.5,North Twenty Four Parganas,North Twenty Four Parganas
2014.538462,North Twenty Four Parganas,North Twenty Four Parganas
2014.576923,North Twenty Four Parganas,North Twenty Four Parganas
2014.615385,North Twenty Four Parganas,North Twenty Four Parganas
2014.653846,North Twenty Four Parganas,North Twenty Four Parganas
2014.692308,North Twenty Four Parganas,North Twenty Four Parganas
2014.730769,North Twenty Four Parganas,North Twenty Four Parganas
2014.769231,North Twenty Four Parganas,North Twenty Four Parganas
2014.807692,North Twenty Four Parganas,North Twenty Four Parganas
2014.846154,North Twenty Four Parganas,North Twenty Four Parganas
2014.884615,North Twenty Four Parganas,North Twenty Four Parganas
2014.923077,North Twenty Four Parganas,North Twenty Four Parganas
2014.961538,North Twenty Four Parganas,North Twenty Four Parganas
2015,North Twenty Four Parganas,North Twenty Four Parganas
2015.038462,North Twenty Four Parganas,North Twenty Four Parganas
2015.076923,North Twenty Four Parganas,North Twenty Four Parganas
2015.115385,North Twenty Four Parganas,North Twenty Four Parganas
2015.153846,North Twenty Four Parganas,North Twenty Four Parganas
2015.192308,North Twenty Four Parganas,North Twenty Four Parganas
2015.230769,North Twenty Four Parganas,North Twenty Four Parganas
2015.269231,North Twenty Four Parganas,North Twenty Four Parganas
2015.307692,North Twenty Four Parganas,North Twenty Four Parganas
2015.346154,North Twenty Four Parganas,North Twenty Four Parganas
2015.384615,North Twenty Four Parganas,North Twenty Four Parganas
2015.423077,North Twenty Four Parganas,North Twenty Four Parganas
2015.461538,North Twenty Four Parganas,North Twenty Four Parganas
2015.5,North Twenty Four Parganas,North Twenty Four Parganas
2015.538462,North Twenty Four Parganas,North Twenty Four Parganas
2015.576923,North Twenty Four Parganas,North Twenty Four Parganas
2015.615385,North Twenty Four Parganas,North Twenty Four Parganas
2015.653846,North Twenty Four Parganas,North Twenty Four Parganas
2015.692308,North Twenty Four Parganas,North Twenty Four Parganas
2015.730769,North Twenty Four Parganas,North Twenty Four Parganas
2015.769231,North Twenty Four Parganas,North Twenty Four Parganas
2015.807692,North Twenty Four Parganas,North Twenty Four Parganas
2015.846154,North Twenty Four Parganas,North Twenty Four Parganas
2015.884615,North Twenty Four Parganas,North Twenty Four Parganas
2015.923077,North Twenty Four Parganas,North Twenty Four Parganas
2015.961538,North Twenty Four Parganas,North Twenty Four Parganas
2016,North Twenty Four Parganas,North Twenty Four Parganas
2016.038462,North Twenty Four Parganas,North Twenty Four Parganas
2016.076923,North Twenty Four Parganas,North Twenty Four Parganas
2016.115385,North Twenty Four Parganas,North Twenty Four Parganas
2016.153846,North Twenty Four Parganas,North Twenty Four Parganas
2016.192308,North Twenty Four Parganas,North Twenty Four Parganas
2016.230769,North Twenty Four Parganas,North Twenty Four Parganas
2016.269231,North Twenty Four Parganas,North Twenty Four Parganas
2016.307692,North Twenty Four Parganas,North Twenty Four Parganas
2016.346154,North Twenty Four Parganas,North Twenty Four Parganas
2016.384615,North Twenty Four Parganas,North Twenty Four Parganas
2016.423077,North Twenty Four Parganas,North Twenty Four Parganas
2016.461538,North Twenty Four Parganas,North Twenty Four Parganas
2016.5,North Twenty Four Parganas,North Twenty Four Parganas
2016.538462,North Twenty Four Parganas,North Twenty Four Parganas
2016.576923,North Twenty Four Parganas,North Twenty Four Parganas
2016.615385,North Twenty Four Parganas,North Twenty Four Parganas
2016.653846,North Twenty Four Parganas,North Twenty Four Parganas
2016.692308,North Twenty Four Parganas,North Twenty Four Parganas
2016.730769,North Twenty Four Parganas,North Twenty Four Parganas
2016.769231,North Twenty Four Parganas,North Twenty Four Parganas
2016.807692,North Twenty Four Parganas,North Twenty Four Parganas
2016.846154,North Twenty Four Parganas,North Twenty Four Parganas
2016.884615,North Twenty Four Parganas,North Twenty Four Parganas
2016.923077,North Twenty Four Parganas,North Twenty Four Parganas
2016.961538,North Twenty Four Parganas,North Twenty Four Parganas
2017,North Twenty Four Parganas,North Twenty Four Parganas
2017.038462,North Twenty Four Parganas,North Twenty Four Parganas
2017.076923,North Twenty Four Parganas,North Twenty Four Parganas
2017.115385,North Twenty Four Parganas,North Twenty Four Parganas
2017.153846,North Twenty Four Parganas,North Twenty Four Parganas
2017.192308,North Twenty Four Parganas,North Twenty Four Parganas
2017.230769,North Twenty Four Parganas,North Twenty Four Parganas
2017.269231,North Twenty Four Parganas,North Twenty Four Parganas
2017.307692,North Twenty Four Parganas,North Twenty Four Parganas
2017.346154,North Twenty Four Parganas,North Twenty Four Parganas
2017.384615,North Twenty Four Parganas,North Twenty Four Parganas
2017.423077,North Twenty Four Parganas,North Twenty Four Parganas
2017.461538,North Twenty Four Parganas,North Twenty Four Parganas
2017.5,North Twenty Four Parganas,North Twenty Four Parganas
2017.538462,North Twenty Four Parganas,North Twenty Four Parganas
2017.576923,North Twenty Four Parganas,North Twenty Four Parganas
2017.615385,North Twenty Four Parganas,North Twenty Four Parganas
2017.653846,North Twenty Four Parganas,North Twenty Four Parganas
2017.692308,North Twenty Four Parganas,North Twenty Four Parganas
2017.730769,North Twenty Four Parganas,North Twenty Four Parganas
2017.769231,North Twenty Four Parganas,North Twenty Four Parganas
2017.807692,North Twenty Four Parganas,North Twenty Four Parganas
2017.846154,North Twenty Four Parganas,North Twenty Four Parganas
